                           N             E             V      SN      SE      SV
AC40 2009.0075        -2.209        -0.808         8.742   1.058   0.755   3.076
AC40 2015.9398         1.869         1.417        -3.535   0.968   0.676   2.800
AC40 2018.0616         3.193        -7.628         0.483   0.872   0.602   2.538
AC41 2011.3676        -3.966         1.818        -1.324   0.859   0.623   2.440
AC42 2015.1978         2.745        -0.716        -3.397   0.923   0.660   2.598
AC43 2007.9480         1.746        -0.115        -6.647   1.829   1.278   5.178
AC43 2010.9185         1.265         2.533        -1.589   1.241   0.870   3.560
AC43 2012.0301         1.463         0.903        -5.095   1.194   0.842   3.410
AC43 2013.0705         1.702        -1.712        -3.628   1.621   1.133   4.566
AC43 2013.4483         0.364        -1.086         4.966   1.758   1.231   4.992
AC43 2014.0835         0.619        -1.616        -2.625   1.340   0.942   3.871
AC43 2016.0630         1.300         5.284        -2.022   1.333   0.918   3.846
AC43 2016.6899        -2.490         3.600         2.279   1.348   0.929   3.916
AC43 2018.0643       -11.283        -2.582         1.882   1.227   0.855   3.569
AC44 2009.5414        -4.209        -1.510         4.994   2.098   1.459   6.055
AC44 2010.0999        -6.962        -0.674         4.185   1.613   1.123   4.696
AC44 2010.7269        -5.069         0.461         2.198   1.597   1.126   4.608
AC44 2011.2443        -5.775        -0.745         4.732   1.960   1.389   5.609
AC44 2011.5318        -5.145        -1.123         0.501   2.023   1.433   5.794
AC44 2012.0055        -7.909        -0.082        -0.053   1.794   1.270   5.136
AC44 2012.4353        -5.145        -1.548         4.624   1.646   1.165   4.707
AC44 2013.1143        -3.419        -1.669        -4.859   1.800   1.262   5.122
AC44 2013.4538        -1.523        -0.302         9.764   1.695   1.184   4.813
AC44 2017.6235         2.035        -3.105        -1.898   1.496   1.040   4.404
AC44 2018.0643        -5.230         0.701         0.056   1.436   1.002   4.234
AC44 2019.5838         2.515        -1.299         3.834   1.493   1.051   4.367
AC44 2020.0027         2.688        -0.378        -3.065   1.802   1.266   5.252
AC45 2015.5455        -2.304         2.029         0.973   0.890   0.625   2.500
AC45 2018.0479       -20.943         0.228        29.891   4.144   2.853  11.581
AC45 2018.0890        29.354       -22.252       -26.982   4.140   2.851  11.572
AC46 2008.1451        -2.391         1.526        -4.781   1.044   0.737   3.063
AC46 2009.5195        -3.675         0.764         4.759   1.016   0.717   2.979
AC46 2011.2772        -1.598         4.229        -4.494   1.033   0.729   3.009
AC46 2015.9918        -0.269        -3.417         0.632   1.159   0.809   3.393
AC47 2008.1232        -5.892        16.464        91.921   2.911   2.084   8.848
AC47 2008.2601        -8.184        34.125       173.683   3.611   2.602  11.342
AC47 2008.4216        -1.510       -19.821      -101.772   5.791   4.150  17.995
AC47 2008.4545        13.681       -32.166      -176.248   5.239   3.745  16.133
AC47 2018.9158        -7.166        -8.045        20.669   2.318   1.638   6.738
AC47 2019.0773        -5.720        31.248       151.429   3.310   2.345  10.032
AC47 2019.2088        -1.267        18.581        50.510   3.847   2.766  12.410
AC47 2019.4141        19.074       -45.157      -218.623   3.133   2.266  10.207
AC48 2012.0192         6.667        10.994        47.281   3.892   2.927  12.745
AC48 2012.1013         8.942       -14.290        65.256   5.464   4.266  17.662
AC48 2012.1780         3.650         4.353        76.452   7.128   5.717  23.165
AC48 2012.2163        -1.121         4.938        43.246   7.861   6.147  25.406
AC48 2012.2847        -1.664        53.360       -23.789  25.415  20.532  77.911
AC48 2012.2902       -32.147       -40.820        34.472  28.222  21.978  86.625
AC48 2012.3039        18.469       -17.411      -246.592  13.346   8.791  41.349
AC48 2013.2266         5.655        10.005       111.828   2.918   2.136   8.900
AC48 2013.3662        -5.445       -10.749      -113.100   2.831   2.066   8.631
AC48 2018.0671       -12.371        -3.460        -2.958   1.181   0.874   3.621
AC48 2018.9158        -5.127         4.666         2.785   1.235   0.917   3.780
AC50 2011.8576        11.562        -0.272         8.945   1.480   1.084   4.724
AC50 2012.2710       -12.705         1.793        -9.407   1.456   1.069   4.639
AC50 2018.8474        17.840         4.376        26.785   2.056   1.463   6.741
AC50 2019.0746        -4.163        -4.221       -17.874   2.827   2.007   9.348
AC50 2019.2471       -12.397         0.732        -5.094   2.224   1.575   7.375
AC51 2008.1478        -4.941         2.400        -4.842   1.597   1.114   4.724
AC51 2009.3717        -5.176         1.757         3.317   1.109   0.779   3.252
AC51 2011.0719        -3.315         3.170        -4.595   0.999   0.702   2.902
AC51 2016.1369        -3.443        -1.020        -3.650   1.086   0.753   3.166
AC52 2007.9918         4.740        -0.383        -1.635   1.882   1.331   5.314
AC52 2008.9829         5.904        -0.655         2.036   1.213   0.869   3.475
AC52 2010.9569         2.599        -0.446         0.040   1.114   0.797   3.152
AC52 2012.2026         0.577         2.592        -1.835   1.226   0.876   3.444
AC52 2016.2574        -2.069         1.805        -0.811   1.213   0.845   3.455
AC52 2017.2868        -1.452         2.666        -0.099   1.270   0.878   3.651
AC52 2018.0643         3.508        -9.759         1.010   1.203   0.837   3.458
AC53 2007.9452        -3.919         4.554        -3.933   1.228   0.900   3.833
AC53 2010.0397        -1.177         5.225       -24.838   3.378   2.462  10.895
AC53 2010.1218        -7.756        -1.548        23.831   3.387   2.470  10.915
AC53 2011.2772        -5.901         4.795        -6.121   1.412   1.039   4.400
AC53 2011.9836        -2.606         4.461       -28.347   2.988   2.221   9.264
AC53 2012.0876        -3.601         3.855        20.051   2.954   2.196   9.146
AC53 2012.8761        -2.444         3.489        -4.427   1.362   0.998   4.238
AC53 2015.9945         2.751        -3.882         0.714   1.376   0.997   4.327
AC53 2018.9158       -27.102         3.737       -23.715   1.262   0.917   4.008
AC57 2008.1451         1.915         3.029        -7.003   0.956   0.706   2.874
AC57 2012.0219        -0.887         1.544       -13.889   1.018   0.758   3.062
AC57 2018.0782       -13.529        -3.116         0.996   0.993   0.733   3.020
AC58 2009.3224        -0.633        -3.659        -2.641   1.748   1.284   5.365
AC58 2018.6721         2.544         1.251         1.632   0.921   0.655   2.714
AC59 2006.1355        -4.343         1.416        -5.552   1.934   1.322   5.606
AC59 2006.3874        -2.175         1.580         3.929   1.915   1.310   5.546
AC59 2007.9918        -0.016         1.562        -3.878   1.047   0.712   2.993
AC59 2009.5469        -3.937         2.034         1.238   1.028   0.700   2.948
AC59 2011.2717        -1.141         2.829        -5.904   1.027   0.701   2.936
AC59 2018.0643         8.236        -4.934        -0.211   1.016   0.680   2.935
AC59 2020.0082         3.896        -0.874         0.550   1.478   0.987   4.254
AC60 2013.8344         0.421        -3.301         0.983   1.350   0.952   3.698
AC60 2014.4778        -1.068       -15.282         2.911   1.710   1.208   4.681
AC60 2014.9322        -1.084        -6.237        -1.406   1.497   1.058   4.114
AC60 2017.5441         2.450        15.011        -1.404   5.357   3.761  14.898
AC60 2017.5688         2.274         4.219         0.153   5.398   3.789  15.010
AC60 2018.2724         2.659         2.213        -4.353   1.698   1.185   4.658
AC60 2018.6721         2.693         4.975         2.455   1.533   1.066   4.185
AC62 2005.0130         0.095        -6.043        -4.250   1.961   1.390   6.017
AC62 2005.3771         1.888        -5.355         4.595   1.849   1.316   5.692
AC62 2006.0096         0.093        -6.506        -1.583   1.504   1.078   4.647
AC62 2006.7789         0.625        -5.316        -1.691   1.387   0.998   4.309
AC62 2007.5893         1.522        -5.161         1.476   1.302   0.935   4.051
AC62 2009.0486         9.849         8.172         1.261   2.627   1.908   8.221
AC62 2009.1718        -8.939       -11.711        -4.056   2.865   2.073   8.885
AC62 2009.5305        -1.229        -3.316         4.163   1.594   1.136   4.834
AC62 2012.1177        -1.160        -1.321        -5.486   1.197   0.866   3.723
AC62 2015.8686         0.814         8.484         2.240   2.460   1.710   7.430
AC62 2016.0055        -1.284        -5.997        -2.833   2.457   1.705   7.421
AC62 2017.9357        -4.690         3.961         0.163   1.091   0.778   3.419
AC62 2019.8850         2.487         8.650        11.417   2.640   1.863   7.916
AC62 2020.0055        -1.964        -4.594       -11.169   2.843   2.005   8.536
AC63 2005.1663        -3.659         3.156        -1.526   1.919   1.396   6.239
AC63 2005.5113        -1.391         3.855         4.392   1.776   1.296   5.779
AC63 2006.5024        -3.517         3.851         0.543   1.209   0.887   3.920
AC63 2007.6112        -0.099         2.783         4.712   1.181   0.866   3.798
AC63 2008.6598        -1.088         2.304        -3.499   1.240   0.910   3.971
AC63 2009.5633        -2.205         1.006         6.547   1.136   0.831   3.650
AC63 2016.6516         1.874        -1.555         3.974   1.019   0.734   3.303
AC63 2018.0643        -2.001        -1.865         0.724   0.962   0.695   3.134
AC64 2004.9035         7.371        -7.608        -3.480   2.661   1.536   9.083
AC64 2005.4483         7.803        -5.747         7.349   2.630   1.524   9.030
AC64 2005.8426         6.873        -5.891         2.750   2.582   1.499   8.831
AC64 2006.4394        29.295         9.498        -0.718   2.909   1.676   9.934
AC64 2006.7187       -18.815       -13.744         6.492   2.760   1.581   9.365
AC64 2007.5866         8.918        -5.753         5.268   1.705   0.993   5.694
AC64 2009.3006        10.340        -8.838         1.355   1.774   1.025   6.115
AC64 2010.9788         4.444        -2.682         0.085   1.586   0.922   5.581
AC64 2012.9500         1.546        -2.762        -6.601   1.548   0.892   5.481
AC64 2018.0643        -7.813         0.077        -4.230   1.549   0.891   5.679
AC65 2004.8378         8.526        -4.626         2.191   2.392   1.844   8.794
AC65 2005.6674        13.314        -5.279         6.957   1.785   1.368   6.638
AC65 2006.7643         8.468        -3.339         0.872   1.818   1.408   6.806
AC65 2007.7454         5.135        -1.188         2.039   1.849   1.431   6.959
AC65 2009.4567         4.820        -0.829         4.885   3.151   2.473  12.381
AC65 2010.8282         2.981        -3.827       -15.573   2.882   2.247  11.340
AC65 2011.4059        -2.719         4.823        16.282   2.337   1.830   9.348
AC65 2011.8056         1.372        -4.479       -19.217   2.278   1.797   9.237
AC65 2012.4298        -2.431         6.398        17.109   2.249   1.773   9.157
AC65 2012.7940         3.462        -6.769       -31.578   2.593   2.016  10.348
AC65 2013.1061        -3.219         2.207        10.311   2.556   1.943   9.849
AC65 2013.4018        -1.894         4.355        15.437   2.666   2.076  10.688
AC65 2013.7851         3.690        -6.468       -23.598   2.589   2.016  10.404
AC65 2014.1519        -2.293         3.865        11.784   2.083   1.598   8.229
AC65 2014.9240        -1.731        -2.579        -9.851   2.113   1.642   8.466
AC65 2015.3593        -1.640         4.905         7.907   2.265   1.782   9.173
AC65 2015.8357        -0.702        -2.918       -11.455   2.243   1.774   9.094
AC65 2016.3641        -3.350         5.812        11.521   3.219   2.675  13.560
AC65 2016.4955         3.367        -9.906       -23.130   3.346   2.777  14.193
AC65 2016.9447        -4.437         1.430        -2.820   2.155   1.698   8.825
AC65 2018.0616        -8.400        -0.614        -4.309   1.704   1.346   6.862
AC65 2018.8474        -6.142         4.084        -4.154   1.884   1.495   7.602
AC66 2006.1465        -2.367         3.251         4.488   2.217   1.600   6.259
AC66 2006.5161        -4.939         5.906         1.512   1.802   1.309   5.146
AC66 2008.9557       -36.926        34.146         1.921   3.280   2.362   9.194
AC66 2012.7584         4.489        -3.868        -1.705   2.007   1.437   5.538
AC66 2014.4778        35.711       -20.629       -28.012   2.252   1.622   6.277
AC66 2020.0383        41.411       -33.752        -6.947  14.044  10.277  41.465
AC67 2008.2026         3.573         0.205        -1.641   1.276   0.868   3.663
AC67 2009.3361        -4.003         7.045         7.198   1.242   0.845   3.578
AC67 2011.8850        -5.527         4.338         2.857   1.222   0.835   3.517
AC67 2012.6352        -4.297         3.747         6.819   1.299   0.886   3.737
AC67 2017.7769        -2.248         2.334         3.779   1.873   1.228   5.387
AC67 2018.0643        15.491       -27.619        -2.725   2.107   1.381   6.068
AC67 2018.6475         1.150        -1.159         6.869   1.432   0.941   4.149
