                           N             E             V      SN      SE      SV
AC15 2013.0404         1.035        -2.952        -6.200   1.980   1.261   6.016
AC15 2013.5222         2.329        -2.677         0.327   1.922   1.224   5.840
AC15 2015.0691         2.592        -2.906        -4.585   1.625   1.043   5.028
AC15 2015.9644         2.759         5.515        -3.563   1.618   1.032   5.013
AC15 2018.0643        -4.829        -3.213        -3.344   1.589   1.016   4.958
AC16 2012.1150         4.541        46.845       187.405   2.923   2.070  10.282
AC16 2012.3285        -1.740       -45.592      -184.060   2.935   2.074  10.316
AC17 2008.1424        -1.135         2.247        -7.731   1.489   1.057   4.294
AC17 2008.5749         1.132         3.416        -0.436   1.682   1.197   4.874
AC17 2009.2430        -8.636        -4.900        -2.049   1.933   1.365   5.535
AC17 2009.5305        -5.202         1.553         2.306   1.754   1.233   4.991
AC17 2011.1677        -5.087         3.624        -6.670   1.031   0.730   2.969
AC17 2016.1424        -0.402         0.499        -5.039   1.439   0.997   4.189
AC17 2016.5640        -5.519         3.010         3.196   1.418   0.981   4.133
AC18 2012.1999         2.187         1.588        -5.147   1.336   0.923   3.924
AC18 2013.9904         3.824         0.102        -1.289   1.161   0.801   3.396
AC18 2015.1047         3.416         0.187        -2.729   1.252   0.856   3.665
AC18 2016.0657        -1.884         3.861         0.503   1.183   0.801   3.482
AC18 2018.0835         8.351       -11.780        -1.879   1.209   0.822   3.595
AC18 2018.9788         5.372         0.068         0.082   1.242   0.847   3.699
AC18 2020.2929         4.623        -1.144        -3.779   2.105   1.444   6.261
AC19 2011.2553        -2.060         2.176        -0.740   1.037   0.738   3.175
AC19 2019.5565         2.915        -1.535         1.017   1.063   0.751   3.314
AC20 2006.1191         3.920        -1.299        -7.595   1.916   1.147   5.573
AC20 2006.9706         3.854         0.178       -10.070   1.437   0.861   4.259
AC20 2010.6393        -6.911         2.699         1.003   1.301   0.775   3.909
AC20 2011.9617        -6.828         0.606        -7.016   1.861   1.102   5.505
AC20 2012.5257        -4.475        -2.539         2.935   1.814   1.068   5.380
AC20 2018.9322        -1.857         6.294         3.092   1.408   0.844   4.402
AC21 2016.0465         2.421         0.956        -2.085   0.917   0.645   2.571
AC21 2018.0945         1.484        -3.418         0.588   1.112   0.777   3.148
AC21 2018.9076         3.955        -2.071         0.118   1.146   0.804   3.245
AC23 2008.6133        -2.813         0.801         4.813   1.336   0.941   3.921
AC23 2009.5140        -4.273        -2.260         8.120   1.322   0.926   3.894
AC23 2010.5818        -2.686        -1.576         1.290   1.559   1.093   4.555
AC23 2011.0582        -4.568        -0.655        -0.931   1.476   1.040   4.298
AC23 2012.7639         3.990        -1.423        -1.047   1.268   0.889   3.707
AC23 2013.7495         3.471        -2.326         5.525   1.346   0.942   3.935
AC23 2014.6448         3.056        -1.330         5.550   1.323   0.924   3.884
AC23 2016.7775        -6.792         1.882         7.774   1.394   0.967   4.143
AC23 2019.5619         4.398        -3.573         5.616   1.384   0.966   4.132
AC24 2009.5443        -2.312         1.074         2.104   0.911   0.643   2.611
AC24 2018.0616         7.213       -10.385         1.352   0.910   0.636   2.621
AC25 2005.9849       -26.896       -20.026        19.381   2.825   2.027   8.030
AC25 2006.1218        23.471        19.036       -17.143   2.443   1.761   6.970
AC25 2009.0568         6.669        -4.643        12.509   1.746   1.289   5.007
AC25 2009.3169        -7.605         3.484        -9.580   2.916   2.117   8.220
AC25 2009.5387        -5.872        -0.140         0.905   2.458   1.766   6.863
AC26 2009.3744        -7.835         5.508         0.341   1.516   1.071   4.337
AC26 2011.4415        -3.723         3.622        -3.661   1.488   1.058   4.208
AC26 2012.4435        -1.488         5.073        -1.981   1.354   0.965   3.810
AC26 2013.4374        -1.590         2.867         3.367   1.363   0.969   3.839
AC26 2014.4558        -3.412         3.109        -0.638   1.756   1.221   5.392
AC26 2015.3703        -3.020         2.630        -6.871   2.216   1.538   6.695
AC26 2017.4018        -4.657         4.503        -1.752   1.593   1.109   4.580
AC26 2018.0643         9.741       -15.555        -2.374   1.507   1.051   4.340
