                       N               E               V      SN      SE      SV
AVRY VEL           2.892         -23.725           0.517   0.082   0.070   0.282
AZCN POS    36.839792169  -107.910964739     1862921.042   2.113   1.772   7.164
AZCN VEL          -6.028         -14.370          -1.268   0.181   0.152   0.612
AZRY POS    33.540073709  -116.629701459     1265690.409   0.731   0.629   2.547
AZRY VEL          11.448         -31.584           0.136   0.131   0.112   0.462
AZU1 POS    34.126019914  -117.896491858      144730.635   0.932   0.852   3.652
AZU1 VEL          11.573         -36.046          -2.071   0.141   0.129   0.590
BACK POS   -74.430440709  -102.478181208       33304.734   0.514   0.399   2.165
BACK VEL           9.324          16.833          14.842   0.114   0.090   0.478
BADG POS    51.769704436   102.234989253      811420.267   0.540   0.372   1.546
BADG VEL          -6.526          26.516           0.471   0.112   0.079   0.326
BAHR POS    26.209145440    50.608150508      -17089.981   1.291   1.235   5.071
BAHR VEL          30.529          31.444          -0.451   0.091   0.088   0.360
BAIE POS    49.186827216   -68.263331129       27543.692   0.651   0.494   2.040
BAIE VEL           6.215         -16.005           3.365   0.073   0.053   0.227
BAKE POS    64.317819454   -96.002350682        4616.051   0.500   0.353   1.575
BAKE VEL          -4.417         -18.741          10.894   0.090   0.063   0.287
BAKO POS    -6.491055569   106.848913914      158111.994   0.700   0.839   3.451
BAKO VEL          -7.404          24.941          -0.806   0.152   0.190   0.714
BALD POS    37.783427373  -118.901394894     2749575.856   0.603   0.492   1.948
BALD VEL           1.750         -19.269           3.820   0.313   0.256   1.026
BAMF POS    48.835328347  -125.135105589       10798.243   0.759   0.631   2.841
BAMF VEL          -6.344          -3.974           1.601   0.080   0.067   0.320
BAMO POS    40.412749250  -117.204568601     1792464.707   0.435   0.343   1.338
BAMO VEL          -9.413         -16.385           0.006   0.085   0.066   0.260
BAN2 POS    13.034323523    77.511623097      831855.432   1.380   1.615   6.160
BAN2 VEL          35.519          43.507          -1.325   0.150   0.176   0.677
BAR1 POS    33.480454131  -119.029741497       14785.983   0.780   0.691   2.994
BAR1 VEL          22.543         -41.700          -0.962   0.133   0.117   0.520
BARA POS    18.208699539   -71.098227094        6736.634   0.466   0.521   2.065
BARA VEL           8.244           8.622           0.325   0.240   0.267   1.056
BARH POS    44.395048899   -68.221693190        6750.799   0.725   0.551   2.174
BARH VEL           7.157         -15.227           0.286   0.069   0.053   0.213
BARN POS    44.099089088   -71.159560889      139636.698   0.979   0.714   3.239
BARN VEL           4.997         -15.275           0.760   0.126   0.091   0.417
BATM POS    36.403455800  -116.511555053      736964.054   3.231   2.641  10.805
BATM VEL          -8.475         -15.295          -0.648   0.269   0.220   0.903
BAY1 POS    55.190268684  -162.707161134       50667.261  25.143  17.385  74.956
BAY1 VEL         -22.863         -10.049           2.602   0.320   0.218   0.947
BAY2 POS    55.190415371  -162.706765992       50478.395   5.103   3.486  15.051
BAY2 VEL         -22.236          -8.512          -0.633   0.278   0.189   0.819
BAYR POS    43.446230321   -83.891734406      148840.431   0.636   0.491   1.994
BAYR VEL           1.060         -16.280          -2.009   0.103   0.080   0.331
BBDM POS    34.582200423  -119.981518793      204872.753   0.726   0.579   2.507
BBDM VEL          19.597         -40.679           0.635   0.316   0.256   1.097
BBID POS    44.185043552  -111.526129216     1789903.530   0.634   0.514   2.701
BBID VEL         -10.330         -16.122          -2.665   0.124   0.101   0.517
BBRY POS    34.264279210  -116.884244943     2051058.316   0.858   0.729   3.408
BBRY VEL           4.009         -23.434           0.178   0.138   0.114   0.540
BCOV POS    50.544279908  -126.842644374       37379.181   0.815   0.559   2.631
BCOV VEL          -9.580         -11.504           1.692   0.115   0.080   0.354
BCRK POS    62.414279570  -140.860424020      719496.301   0.657   0.476   2.050
BCRK VEL         -14.798          -8.937           1.706   0.473   0.338   1.473
BCWR POS    34.920462900  -119.405853797     1332908.418   0.785   0.666   2.627
BCWR VEL           9.961         -33.988          -0.310   0.178   0.148   0.604
BCYI POS    44.315615003  -113.405850058     2173392.120   0.717   0.550   2.892
BCYI VEL          -9.599         -15.253          -0.509   0.077   0.059   0.313
BDAR POS    11.599819073    37.359657720     1793044.919   5.794   7.015  26.820
BDAR VEL          17.440          22.300          -0.238   0.582   0.704   2.677
BDOS POS    13.087955672   -59.609095503      -38649.570   2.224   2.718   9.940
BDOS VEL          14.055          10.595          -4.108   0.300   0.367   1.343
BEA2 POS    62.407840460  -140.862539881      662456.603   2.245   1.547   6.765
BEA2 VEL         -14.917          -7.933           0.745   0.176   0.121   0.532
BEA5 POS    30.161722158   -94.179712327      -12009.672   9.824   9.834  41.984
BEA5 VEL           0.958         -10.390          -4.453   0.525   0.525   2.245
BEAT POS    37.039930160  -116.621130648     1396046.128   2.606   2.136   8.813
BEAT VEL          -8.625         -15.480          -0.202   0.211   0.173   0.717
BELI POS    48.755267681  -122.478973999       10582.735   0.615   0.443   1.874
BELI VEL          -9.216          -9.692          -0.515   0.112   0.080   0.336
BELL POS    41.599620474     1.401144017      853413.858   0.484   0.378   1.532
BELL VEL          16.279          19.848          -0.077   0.091   0.069   0.294
BEMT POS    34.000533403  -115.998193195     1373630.733   0.644   0.555   2.175
BEMT VEL          -5.114         -17.310          -0.401   0.133   0.113   0.448
BEND POS    44.057158039  -121.315188078     1095819.159   0.645   0.482   2.016
BEND VEL          -8.261         -13.014          -1.548   0.086   0.064   0.268
BENN POS   -84.786458010  -116.459793861     1416433.061   0.472   0.440   3.187
BENN VEL           0.539          15.663           8.564   0.092   0.088   0.624
BEPK POS    35.878388057  -118.074096646     2471094.567   1.412   1.205   4.999
BEPK VEL          -0.206         -20.960           0.592   0.193   0.160   0.671
BERP POS   -74.545934950  -111.884578796      313333.929   0.553   0.444   2.381
BERP VEL          12.674          18.016          27.302   0.153   0.124   0.659
BFLD POS    35.413084295  -119.045331933      108248.005   0.821   0.682   2.688
BFLD VEL           2.846         -25.242          -6.578   0.463   0.389   1.511
BGIS POS    33.967119642  -118.159701758        2760.812   0.944   0.831   3.594
BGIS VEL          14.997         -38.103          -5.603   0.210   0.182   0.791
BHR1 POS    26.209145537    50.608150480      -17901.258   6.803   6.174  26.429
BHR1 VEL          30.588          31.491          -0.435   0.104   0.100   0.412
BHR2 POS    26.209145532    50.608150446      -17899.892   7.663   7.131  29.793
BHR2 VEL          30.529          31.178          -0.247   0.452   0.436   1.722
BIGD POS    47.933293087  -118.988834706      493448.927   1.011   0.688   3.148
BIGD VEL         -10.515         -12.360          -5.134   0.295   0.203   0.965
BIL1 POS    45.971182372  -107.996488263      873720.929   7.801   5.766  24.291
BIL1 VEL          -8.116         -14.230           1.396   0.552   0.408   1.718
BILB POS    68.065311281   166.453384251      315746.855   3.171   2.061  10.274
BILB VEL         -20.321           8.012           0.181   0.300   0.214   1.006
BILI POS    68.076126934   166.437965824      456140.604   2.565   1.808   8.980
BILI VEL         -20.992           8.640           0.521   0.173   0.122   0.607
BILL POS    33.578244721  -117.064604792      470034.349   0.639   0.556   2.240
BILL VEL          14.390         -35.513          -0.634   0.124   0.106   0.434
BILS POS    47.539344208  -124.252526720       38367.947   0.708   0.476   2.111
BILS VEL          -2.976          -0.676          -0.934   0.151   0.101   0.449
BIS1 POS    56.854491718  -135.539299720       66712.909   8.428   5.474  23.287
BIS1 VEL          -6.232         -15.136           0.496   0.679   0.438   1.885
BIS2 POS    42.854193598    74.533184358      744814.949   4.219   3.184  12.544
BIS2 VEL           5.155          28.496          -1.078   0.535   0.404   1.591
BJCO POS     6.384666348     2.450024032       30714.020   0.564   0.671   2.381
BJCO VEL          18.801          22.035          -0.622   0.107   0.129   0.454
BJFS POS    39.608599883   115.892490774       87460.406   0.526   0.430   1.703
BJFS VEL         -11.014          30.564           1.674   0.174   0.142   0.575
BJNM POS    40.245323877   116.224132341      109124.518   0.681   0.553   2.252
BJNM VEL         -11.511          29.904           1.125   0.129   0.105   0.424
BKAP POS    35.287046459  -116.080426781      252026.432   0.775   0.653   2.589
BKAP VEL          -8.539         -15.729           0.282   0.104   0.087   0.351
BKMS POS    33.962259912  -118.094703589       10987.726   0.947   0.816   3.378
BKMS VEL          18.021         -39.841          -1.420   0.345   0.292   1.239
BKR1 POS    35.132387719  -119.109481960       56569.869   3.546   2.911  12.569
BKR1 VEL           3.205         -27.296          -7.627   0.682   0.559   2.412
BKR2 POS    35.132579854  -119.109291002       56423.234   2.196   1.828   7.770
BKR2 VEL           5.350         -26.265         -16.943   0.383   0.318   1.345
BLA1 POS    37.211348805   -80.420509445      605691.445   0.610   0.501   2.096
BLA1 VEL           3.171         -14.347          -1.238   0.091   0.076   0.312
BLKV POS    37.206018318   -80.414527953      606467.422   1.043   0.900   3.706
BLKV VEL           3.158         -13.956          -0.525   0.148   0.128   0.527
BLMM POS    36.879782930   -89.972531781      100607.730   1.561   1.447   6.884
BLMM VEL          -0.442         -14.143          -0.247   0.105   0.096   0.452
BLRW POS    43.230253165   -90.530782519      190620.022   1.889   1.513   6.414
BLRW VEL          -1.286         -15.368          -2.723   0.129   0.104   0.439
BLSA POS    33.799545179  -118.028681890      -23155.044   1.276   1.077   4.417
BLSA VEL          16.150         -39.277           0.731   0.607   0.521   2.169
BLUF POS   -46.585058689   168.292079135      124634.176   1.231   0.901   3.528
BLUF VEL          31.094         -30.326          -1.691   0.173   0.127   0.505
BLYN POS    48.016056683  -122.927541738      613231.482   2.005   1.467   7.197
BLYN VEL          -7.753          -8.984          -2.939   0.146   0.107   0.524
BLYT POS    33.610413917  -114.714852958       85917.312   0.480   0.414   1.624
BLYT VEL          -8.062         -14.295          -0.322   0.102   0.086   0.344
BMHL POS    34.251444315  -116.052980158      722631.473   0.643   0.553   2.172
BMHL VEL          -6.149         -15.249           0.376   0.211   0.179   0.711
BMRY POS    33.962683732  -116.984705632      787241.097   2.969   2.534  10.458
BMRY VEL           9.205         -26.660          -0.537   0.281   0.240   0.991
BOAV POS     2.845184567   -60.701115604       69513.942   0.593   0.691   2.470
BOAV VEL          12.140          -3.940           2.524   0.128   0.151   0.537
BOGI POS    52.474993723    21.035219500      139916.650   0.569   0.409   1.712
BOGI VEL          14.617          20.869           0.437   0.165   0.120   0.483
BOGO POS    52.475949656    21.035348304      149611.182   0.412   0.291   1.214
BOGO VEL          14.388          20.620          -0.330   0.041   0.029   0.121
BOGT POS     4.640074904   -74.080939628     2576222.879   0.665   0.807   3.212
BOGT VEL          14.973          -0.697         -32.313   0.177   0.226   0.840
BOMG POS    33.364628295  -115.729707356      -84226.473   1.417   1.211   4.924
BOMG VEL          -3.479         -20.619           0.202   0.648   0.547   2.252
BOMJ POS   -13.255556092   -43.421736051      419402.428   2.717   2.950  11.765
BOMJ VEL          12.176          -4.734           2.224   0.445   0.484   1.929
BOR1 POS    52.276958716    17.073460808      124356.972   0.453   0.316   1.295
BOR1 VEL          14.712          20.091          -0.409   0.044   0.031   0.129
BRAN POS    34.184895959  -118.277055073      246239.030   1.024   0.890   4.256
BRAN VEL          13.777         -37.294          -0.413   0.169   0.147   0.719
BRAS POS    44.122167209    11.113086860      901206.641   3.348   2.540  11.010
BRAS VEL          17.148          21.618           1.030   0.207   0.156   0.679
BRAZ POS   -15.947473071   -47.877869660     1106007.563   0.405   0.457   1.747
BRAZ VEL          12.502          -3.765          -0.393   0.075   0.085   0.339
BREW POS    48.131522624  -119.682636277      238596.513   0.456   0.332   1.307
BREW VEL         -10.151         -12.712          -0.798   0.068   0.049   0.196
BRFT POS    -3.877445081   -38.425537871       21670.117   0.623   0.697   2.747
BRFT VEL          12.549          -4.314          -0.170   0.298   0.326   1.320
BRIB POS    37.919405399  -122.152557137      263162.295   1.110   0.843   4.120
